Country,Region,Continent,Year,InfantMortality,LifeExpectancy,LifeExpectancyFemales,LifeExpectancyMales,TotalFertilityRate,MaternalMortalityRatio,PopulationAnnualRate
Lesotho,Southern Africa,Africa,2010,74.9,43.1,45.8,40.6,3.4,594,0
Lesotho,Southern Africa,Africa,2015,65.4,48.2,51.3,45.2,3.3,574,0.6
Lesotho,Southern Africa,Africa,2020,62.3,53.5,56.8,50.4,3.2,,0.8
Liberia,Western Africa,Africa,2010,72.9,58.1,59.8,56.4,5.2,708,3.8
Liberia,Western Africa,Africa,2015,60.1,60.7,62.2,59.3,4.8,691,2.8
Liberia,Western Africa,Africa,2020,54.1,63.6,65,62.2,4.4,,2.5
Libya,Northern Africa,Africa,2010,17.6,72.3,74.9,70.1,2.5,53,1.3
Libya,Northern Africa,Africa,2015,13,71.7,74.9,68.9,2.5,70,0.7
Libya,Northern Africa,Africa,2020,10.5,72.7,75.7,69.9,2.3,,1.4
Lithuania,Northern Europe,Europe,2010,6,71.9,77.8,66,1.4,10,-1.4
Lithuania,Northern Europe,Europe,2015,4.4,74,79.3,68.5,1.6,9,-1.3
Lithuania,Northern Europe,Europe,2020,4,75.7,81.1,70,1.7,,-1.5
Luxembourg,Western Europe,Europe,2010,2.3,79.5,82.2,76.7,1.6,8,2.1
Luxembourg,Western Europe,Europe,2015,3.4,81.1,83.5,78.8,1.5,5,2.2
Luxembourg,Western Europe,Europe,2020,2.9,82,84.2,79.8,1.5,,2
Madagascar,Eastern Africa,Africa,2010,45.5,62.2,63.7,60.8,4.8,453,2.9
Madagascar,Eastern Africa,Africa,2015,36.8,64.5,66,63,4.4,363,2.7
Madagascar,Eastern Africa,Africa,2020,29,66.5,68.1,64.9,4.1,,2.7
Malawi,Eastern Africa,Africa,2010,68.4,51.3,54,48.7,5.7,444,2.8
Malawi,Eastern Africa,Africa,2015,52.6,59.6,62.5,56.6,4.9,370,2.8
Malawi,Eastern Africa,Africa,2020,41.3,63.4,66.6,60.3,4.3,,2.7
Malaysia,South-eastern Asia,Asia,2010,7,74,76.3,72,2.2,30,1.9
Malaysia,South-eastern Asia,Asia,2015,6.4,75,77.2,73,2.1,30,1.4
Malaysia,South-eastern Asia,Asia,2020,5.9,75.9,78.1,74,2,,1.3
Maldives,Southern Asia,Asia,2010,14.8,74.8,76.2,73.7,2.3,67,2.7
Maldives,Southern Asia,Asia,2015,9,76.8,78.5,75.5,2.1,54,4.4
Maldives,Southern Asia,Asia,2020,6.8,78.5,80.4,77.1,1.9,,3.4
Mali,Western Africa,Africa,2010,89.1,54,54.7,53.4,6.7,660,3.3
Mali,Western Africa,Africa,2015,78.5,56.2,56.9,55.6,6.4,620,2.9
Mali,Western Africa,Africa,2020,65.8,58.7,59.5,58,5.9,,3
Malta,Southern Europe,Europe,2010,5.6,80.3,82.4,78.1,1.4,8,0.5
Malta,Southern Europe,Europe,2015,5.5,81.4,83.4,79.4,1.4,7,0.9
Malta,Southern Europe,Europe,2020,5,82.3,84.1,80.4,1.5,,0.4
Martinique,Caribbean,North America,2010,7.6,80.1,83.2,76.7,2,,-0.1
Martinique,Caribbean,North America,2015,6.4,81.2,84.4,77.8,2,,-0.8
Martinique,Caribbean,North America,2020,5.6,82.3,85.4,78.9,1.9,,-0.2
Mauritania,Western Africa,Africa,2010,65.6,61.9,63.7,60.1,5.1,824,2.9
Mauritania,Western Africa,Africa,2015,58.9,63.2,65,61.4,4.9,785,2.9
Mauritania,Western Africa,Africa,2020,53.4,64.6,66.2,63,4.6,,2.8
Mauritius,Eastern Africa,Africa,2010,13.2,72.8,76.3,69.4,1.7,66,0.4
Mauritius,Eastern Africa,Africa,2015,12,74.1,77.7,70.7,1.5,73,0.2
Mauritius,Eastern Africa,Africa,2020,11.2,74.8,78.3,71.4,1.4,,0.2
Mayotte,Eastern Africa,Africa,2010,5.6,78,81.9,74.5,4.6,,3.2
Mayotte,Eastern Africa,Africa,2015,4.2,79.3,82.9,76,4.1,,2.8
Mayotte,Eastern Africa,Africa,2020,4.2,79.3,82.9,76,3.7,,2.6
Mexico,Central America,North America,2010,17.1,75.2,78,72.4,2.4,46,1.5
Mexico,Central America,North America,2015,15.2,74.9,77.9,72,2.3,36,1.3
Mexico,Central America,North America,2020,13.5,75,77.8,72.1,2.1,,1.1
Micronesia,Micronesia,Oceania,2010,35,66,67.7,64.5,3.6,110,-0.6
Micronesia,Micronesia,Oceania,2015,30.3,66.9,68.6,65.3,3.3,95,1.1
Micronesia,Micronesia,Oceania,2020,23.5,67.7,69.4,66.1,3.1,,1.1
Mongolia,Eastern Asia,Asia,2010,30.5,66.1,70.3,62.4,2.4,66,1.5
Mongolia,Eastern Asia,Asia,2015,22.8,68.5,72.7,64.5,2.8,47,2
Mongolia,Eastern Asia,Asia,2020,18.1,69.5,73.8,65.5,2.9,,1.8
Montenegro,Southern Europe,Europe,2010,10.9,74.2,76.5,71.9,1.8,7,0.3
Montenegro,Southern Europe,Europe,2015,4.3,76.1,78.5,73.6,1.7,6,0.1
Montenegro,Southern Europe,Europe,2020,2.8,76.7,79.1,74.2,1.8,,0
Morocco,Northern Africa,Africa,2010,26.6,73.4,74.7,72.1,2.5,92,1.2
Morocco,Northern Africa,Africa,2015,24.2,75,76.3,73.7,2.6,74,1.4
Morocco,Northern Africa,Africa,2020,19.9,76.3,77.5,75.1,2.4,,1.3
Mozambique,Eastern Africa,Africa,2010,78.7,51.1,53.3,48.8,5.5,412,2.8
Mozambique,Eastern Africa,Africa,2015,62.8,54.2,56.8,51.5,5.2,318,2.8
Mozambique,Eastern Africa,Africa,2020,53.9,60.1,62.9,57,4.9,,2.9
Myanmar,South-eastern Asia,Asia,2010,52,62.4,65.8,59.1,2.5,265,0.7
Myanmar,South-eastern Asia,Asia,2015,43.7,64.7,68,61.3,2.3,246,0.8
Myanmar,South-eastern Asia,Asia,2020,38.4,66.8,69.8,63.7,2.2,,0.6
Namibia,Southern Africa,Africa,2010,43.5,53,54.4,51.5,3.6,266,1.8
Namibia,Southern Africa,Africa,2015,38.6,60.4,63,57.7,3.6,217,1.8
Namibia,Southern Africa,Africa,2020,33.4,63,65.8,60,3.4,,1.9
Nepal,Southern Asia,Asia,2010,42.6,66.5,67.8,65.2,2.8,305,1
Nepal,Southern Asia,Asia,2015,33.8,68.6,70,67.3,2.3,236,0
Nepal,Southern Asia,Asia,2020,27.9,70.3,71.7,68.8,1.9,,1.5
Netherlands,Western Europe,Europe,2010,4.1,80.2,82.2,78,1.7,7,0.4
Netherlands,Western Europe,Europe,2015,3.5,81.3,83.1,79.4,1.7,6,0.3
Netherlands,Western Europe,Europe,2020,2.5,82.1,83.8,80.3,1.7,,0.2
New Caledonia,Melanesia,Oceania,2010,15.1,75.2,78.3,72.4,2.3,,1.4
New Caledonia,Melanesia,Oceania,2015,13,76.3,79.3,73.7,2.2,,1.3
New Caledonia,Melanesia,Oceania,2020,11.5,77.3,80.2,74.7,2,,1
New Zealand,Australia and New Zealand,Oceania,2010,5,80.3,82.3,78.3,2.1,11,1.1
New Zealand,Australia and New Zealand,Oceania,2015,4.4,81.3,83.1,79.5,2,10,1.1
New Zealand,Australia and New Zealand,Oceania,2020,3.8,82.1,83.8,80.3,1.9,,0.9
Nicaragua,Central America,North America,2010,23.1,71.7,74.9,68.6,2.7,112,1.4
Nicaragua,Central America,North America,2015,17.8,73.1,76.4,69.8,2.5,101,1.3
Nicaragua,Central America,North America,2020,16.8,74.2,77.7,70.6,2.4,,1.3
Niger,Western Africa,Africa,2010,67.6,55.3,56.2,54.5,7.6,663,3.8
Niger,Western Africa,Africa,2015,55.9,59.2,60.3,58.1,7.4,555,3.9
Niger,Western Africa,Africa,2020,46.3,61.8,63,60.7,7,,3.8
Nigeria,Western Africa,Africa,2010,89.3,49.8,50.5,49,5.9,978,2.6
Nigeria,Western Africa,Africa,2015,75,52,52.8,51.2,5.7,931,2.7
Nigeria,Western Africa,Africa,2020,62.1,54.2,55.1,53.3,5.4,,2.6
North Macedonia,Southern Europe,Europe,2010,10.8,74.2,76.3,72.1,1.5,8,0.1
North Macedonia,Southern Europe,Europe,2015,8.9,75.2,77.2,73.1,1.5,8,0.1
North Macedonia,Southern Europe,Europe,2020,10.7,75.6,77.7,73.6,1.5,,0
Norway,Northern Europe,Europe,2010,3,80.6,82.8,78.3,1.9,4,1.1
Norway,Northern Europe,Europe,2015,2.4,81.6,83.6,79.5,1.8,3,1.2
Norway,Northern Europe,Europe,2020,2.1,82.2,84.2,80.2,1.7,,0.8
Oman,Western Asia,Asia,2010,9.8,75.1,77.5,73.2,2.9,18,3.8
Oman,Western Asia,Asia,2015,9.6,76.2,78.7,74.5,2.9,19,6.8
Oman,Western Asia,Asia,2020,7.3,77.5,80.1,75.8,2.9,,3.6
Pakistan,Southern Asia,Asia,2010,75.6,64.5,65.5,63.6,4.2,191,2.3
Pakistan,Southern Asia,Asia,2015,68.1,66,67,65.1,3.8,154,2.1
Pakistan,Southern Asia,Asia,2020,61.3,67,68,66.1,3.6,,2
Panama,Central America,North America,2010,17.8,76.3,79.3,73.5,2.6,79,1.8
Panama,Central America,North America,2015,16,77.3,80.4,74.4,2.6,58,1.7
Panama,Central America,North America,2020,14.1,78.2,81.5,75.1,2.5,,1.7
Papua New Guinea,Melanesia,Oceania,2010,54.5,61.3,62.7,60,4.1,168,2.4
Papua New Guinea,Melanesia,Oceania,2015,48.3,62.7,64.1,61.4,3.8,151,2.1
Papua New Guinea,Melanesia,Oceania,2020,41.9,64.2,65.5,62.9,3.6,,2
Paraguay,South America,South America,2010,24.1,72.1,74.2,70.2,2.9,108,1.4
Paraguay,South America,South America,2015,20.8,73.2,75.2,71.3,2.6,88,1.4
Paraguay,South America,South America,2020,19,74.1,76.2,72.1,2.4,,1.3
Peru,South America,South America,2010,18.1,73.7,76.1,71.3,2.7,104,0.8
Peru,South America,South America,2015,14.1,75.1,77.7,72.6,2.4,94,1
Peru,South America,South America,2020,12.8,76.4,79.2,73.7,2.3,,1.6
Philippines,South-eastern Asia,Asia,2010,25.5,69.4,73.4,65.8,3.3,144,1.7
Philippines,South-eastern Asia,Asia,2015,23.7,70.2,74.6,66.2,3.1,127,1.7
Philippines,South-eastern Asia,Asia,2020,19.7,71,75.3,67.1,2.6,,1.4
Poland,Eastern Europe,Europe,2010,5.7,75.6,79.8,71.3,1.4,3,0
Poland,Eastern Europe,Europe,2015,4.4,77.1,81.2,73.1,1.3,2,-0.2
Poland,Eastern Europe,Europe,2020,3.3,78.5,82.4,74.5,1.4,,-0.1
Portugal,Southern Europe,Europe,2010,3.3,79.3,82.5,76,1.4,9,0.2
Portugal,Southern Europe,Europe,2015,2.9,80.6,83.7,77.5,1.3,9,-0.4
Portugal,Southern Europe,Europe,2020,3,81.8,84.6,78.7,1.3,,-0.3
Puerto Rico,Caribbean,North America,2010,7.2,77.9,81.8,74,1.7,21,-0.3
Puerto Rico,Caribbean,North America,2015,6.4,79.1,82.7,75.4,1.5,20,-1.1
Puerto Rico,Caribbean,North America,2020,5.5,79.9,83.3,76.2,1.2,,-3.3
Qatar,Western Asia,Asia,2010,8.3,78.7,80.3,77.6,2.2,10,15.3
Qatar,Western Asia,Asia,2015,7.3,79.5,81.1,78.3,2,9,6.5
Qatar,Western Asia,Asia,2020,6.3,80,81.8,78.9,1.9,,2.3
Republic of Korea,Eastern Asia,Asia,2010,3.5,79.5,82.7,76,1.2,15,0.3
Republic of Korea,Eastern Asia,Asia,2015,3,81.3,84.4,77.9,1.2,12,0.5
Republic of Korea,Eastern Asia,Asia,2020,2.1,82.8,85.7,79.6,1.1,,0.2
Republic of Moldova,Eastern Europe,Europe,2010,15.6,68.3,72.1,64.4,1.3,29,-0.4
Republic of Moldova,Eastern Europe,Europe,2015,14.2,71,75.2,66.7,1.3,22,-0.1
Republic of Moldova,Eastern Europe,Europe,2020,12.4,71.7,75.9,67.4,1.3,,-0.2
Réunion,Eastern Africa,Africa,2010,5.6,78.2,81.9,74.5,2.4,,1
Réunion,Eastern Africa,Africa,2015,4.2,79.5,82.9,76,2.4,,0.8
Réunion,Eastern Africa,Africa,2020,2.7,80,83.8,77.3,2.3,,0.7
Romania,Eastern Europe,Europe,2010,12,73.1,76.7,69.5,1.5,27,-0.9
Romania,Eastern Europe,Europe,2015,8.4,74.9,78.4,71.5,1.5,21,-0.5
Romania,Eastern Europe,Europe,2020,6.7,75.8,79.3,72.4,1.6,,-0.7
Russian Federation,Eastern Europe,Europe,2010,10.7,67.1,73.7,61,1.5,25,0
Russian Federation,Eastern Europe,Europe,2015,8.3,70.3,76,64.6,1.7,18,0.2
Russian Federation,Eastern Europe,Europe,2020,5.8,72.3,77.5,66.8,1.8,,0.1
Rwanda,Eastern Africa,Africa,2010,62.7,60,61.5,58.5,4.9,373,2.5
Rwanda,Eastern Africa,Africa,2015,39.4,65.8,67.6,63.9,4.3,275,2.5
Rwanda,Eastern Africa,Africa,2020,29.2,68.4,70.5,66.3,4.1,,2.6
Saint Lucia,Caribbean,North America,2010,16.3,74.5,76,73,1.6,109,1.3
Saint Lucia,Caribbean,North America,2015,16,75.2,76.6,73.9,1.5,115,0.6
Saint Lucia,Caribbean,North America,2020,12.5,76,77.4,74.7,1.4,,0.5
Saint Vincent & Grenadines,Caribbean,North America,2010,19.5,71.6,74.1,69.4,2.1,63,-0.1
Saint Vincent & Grenadines,Caribbean,North America,2015,17.4,71.9,74.5,69.6,2,64,0.2
Saint Vincent & Grenadines,Caribbean,North America,2020,14.6,72.4,74.9,70.1,1.9,,0.3
Samoa,Polynesia,Oceania,2010,16.6,71,73.5,68.8,4.5,58,0.7
Samoa,Polynesia,Oceania,2015,15.1,72.3,74.5,70.2,4.2,45,0.8
Samoa,Polynesia,Oceania,2020,13.4,73.1,75.2,71.1,3.9,,0.5
Sao Tome and Principe,Middle Africa,Africa,2010,42.1,66.1,68.3,63.9,4.9,140,2.7
Sao Tome and Principe,Middle Africa,Africa,2015,32.1,68.5,70.8,66.2,4.6,130,2
Sao Tome and Principe,Middle Africa,Africa,2020,26.4,70,72.5,67.7,4.4,,1.9
Saudi Arabia,Western Asia,Asia,2010,12.2,73.5,75.1,72.1,3.2,19,2.8
Saudi Arabia,Western Asia,Asia,2015,8.7,74.4,76,73.1,2.7,17,2.9
Saudi Arabia,Western Asia,Asia,2020,6.3,74.9,76.5,73.7,2.3,,1.9
Senegal,Western Africa,Africa,2010,47.5,62.5,63.9,61.1,5.1,447,2.7
Senegal,Western Africa,Africa,2015,38.3,65.7,67.5,63.8,5,346,2.8
Senegal,Western Africa,Africa,2020,32.7,67.5,69.4,65.3,4.7,,2.8
Serbia,Southern Europe,Europe,2010,7.1,73.4,76.2,70.8,1.6,12,-0.4
Serbia,Southern Europe,Europe,2015,6.1,74.8,77.4,72.1,1.5,13,-0.3
Serbia,Southern Europe,Europe,2020,4.9,75.8,78.4,73.2,1.5,,-0.3
Seychelles,Eastern Africa,Africa,2010,12.2,72.6,76.6,68.9,2.3,55,0.6
Seychelles,Eastern Africa,Africa,2015,12.4,73.1,77,69.6,2.4,54,0.8
Seychelles,Eastern Africa,Africa,2020,10.9,73.3,77.3,69.8,2.5,,0.7
Sierra Leone,Western Africa,Africa,2010,122.1,47,47.8,46.2,5.6,1360,2.6
Sierra Leone,Western Africa,Africa,2015,97.1,51.4,52.3,50.5,4.8,1180,2.2
Sierra Leone,Western Africa,Africa,2020,80.8,54.1,54.9,53.2,4.3,,2.1
Singapore,South-eastern Asia,Asia,2010,2.2,81.2,83.7,78.7,1.3,10,3.7
Singapore,South-eastern Asia,Asia,2015,2.1,82.3,84.5,80.1,1.2,9,1.7
Singapore,South-eastern Asia,Asia,2020,1.6,83.4,85.5,81.3,1.2,,0.9
Slovakia,Eastern Europe,Europe,2010,6.2,74.8,78.6,70.8,1.3,6,0
Slovakia,Eastern Europe,Europe,2015,5.4,76.2,79.8,72.5,1.4,6,0.1
Slovakia,Eastern Europe,Europe,2020,4.8,77.3,80.8,73.7,1.5,,0.1
Slovenia,Southern Europe,Europe,2010,3.2,78.6,82,75,1.4,8,0.5
Slovenia,Southern Europe,Europe,2015,2.2,80.1,83.1,77.1,1.6,7,0.3
Slovenia,Southern Europe,Europe,2020,1.9,81.1,83.9,78.3,1.6,,0.1
Solomon Islands,Melanesia,Oceania,2010,23,69.9,71.7,68.3,4.4,141,2.3
Solomon Islands,Melanesia,Oceania,2015,20.2,71.4,73.3,69.8,4.4,112,2.7
Solomon Islands,Melanesia,Oceania,2020,15.5,72.8,74.6,71.1,4.4,,2.6
Somalia,Eastern Africa,Africa,2010,89.8,53.2,54.8,51.7,7.1,985,2.8
Somalia,Eastern Africa,Africa,2015,79.4,54.9,56.5,53.3,6.6,855,2.7
Somalia,Eastern Africa,Africa,2020,69.3,56.9,58.7,55.3,6.1,,2.8
South Africa,Southern Africa,Africa,2010,48.1,54.7,57.3,52.3,2.6,171,1.3
South Africa,Southern Africa,Africa,2015,32.9,61,64.2,57.8,2.6,125,1.6
South Africa,Southern Africa,Africa,2020,27.2,63.6,67.1,60.2,2.4,,1.4
South Sudan,Eastern Africa,Africa,2010,78.6,53.3,54.4,52.2,5.6,1100,4.7
South Sudan,Eastern Africa,Africa,2015,65.8,56.1,57.5,54.6,5.2,1110,2.4
South Sudan,Eastern Africa,Africa,2020,64.4,57.4,58.9,56,4.7,,0.9
Spain,Southern Europe,Europe,2010,3.4,81.2,84.4,78.1,1.5,4,1.3
Spain,Southern Europe,Europe,2015,2.9,82.5,85.3,79.6,1.3,4,-0.1
Spain,Southern Europe,Europe,2020,2.3,83.4,86.1,80.6,1.3,,0
Sri Lanka,Southern Asia,Asia,2010,10.2,74.9,78.5,71.5,2.3,38,0.7
Sri Lanka,Southern Asia,Asia,2015,8.8,75.9,79.3,72.5,2.2,36,0.6
Sri Lanka,Southern Asia,Asia,2020,7.6,76.7,80.1,73.3,2.2,,0.5
State of Palestine,Western Asia,Asia,2010,21,72.5,74.2,70.8,4.6,45,2.5
State of Palestine,Western Asia,Asia,2015,19.3,73.1,74.9,71.4,4.3,32,2.2
State of Palestine,Western Asia,Asia,2020,17.5,73.8,75.5,72.2,3.7,,2.4
Sudan,Northern Africa,Africa,2010,53.2,61.6,63.5,59.8,5,408,2.2
Sudan,Northern Africa,Africa,2015,47.8,63.8,65.5,62.1,4.8,320,2.4
Sudan,Northern Africa,Africa,2020,42.9,64.9,66.8,63.1,4.4,,2.4
Suriname,South America,South America,2010,23.7,69.8,73.2,66.7,2.7,148,1.2
Suriname,South America,South America,2015,20.3,70.9,74.3,67.8,2.6,122,1.1
Suriname,South America,South America,2020,17.5,71.5,74.9,68.3,2.4,,1
Sweden,Northern Europe,Europe,2010,2.6,81.1,83.1,79,1.9,4,0.8
Sweden,Northern Europe,Europe,2015,2.4,81.9,83.8,80,1.9,4,0.8
Sweden,Northern Europe,Europe,2020,2,82.6,84.4,80.8,1.9,,0.7
Switzerland,Western Europe,Europe,2010,4.2,81.8,84.1,79.3,1.5,6,1.1
Switzerland,Western Europe,Europe,2015,3.9,82.7,84.8,80.5,1.5,5,1.2
Switzerland,Western Europe,Europe,2020,3.4,83.6,85.4,81.6,1.5,,0.8
Syrian Arab Republic,Western Asia,Asia,2010,15,74.5,77.3,72,3.7,27,3
Syrian Arab Republic,Western Asia,Asia,2015,17.9,69.9,76.3,64.4,3.1,30,-3.4
Syrian Arab Republic,Western Asia,Asia,2020,15.5,71.3,77.7,65.9,2.8,,-0.6
Tajikistan,Central Asia,Asia,2010,39,67.7,70.1,65.6,3.6,23,2.1
Tajikistan,Central Asia,Asia,2015,34.1,69.4,71.8,67.2,3.6,18,2.3
Tajikistan,Central Asia,Asia,2020,29.3,70.8,73.1,68.6,3.6,,2.4
Thailand,South-eastern Asia,Asia,2010,13.4,73.2,76.6,69.8,1.6,42,0.5
Thailand,South-eastern Asia,Asia,2015,10.1,75.2,78.9,71.6,1.5,38,0.4
Thailand,South-eastern Asia,Asia,2020,7.8,76.8,80.6,73.1,1.5,,0.3
Timor-Leste,South-eastern Asia,Asia,2010,53.3,66.2,67.6,64.7,5.3,219,1.9
Timor-Leste,South-eastern Asia,Asia,2015,44.9,67.7,69.5,65.9,4.4,160,1.8
Timor-Leste,South-eastern Asia,Asia,2020,37.3,69.2,71.3,67.2,4.1,,1.9
Togo,Western Africa,Africa,2010,63.2,55.8,56.5,55.1,5,440,2.7
Togo,Western Africa,Africa,2015,55.7,59.1,59.8,58.3,4.7,398,2.6
Togo,Western Africa,Africa,2020,49.7,60.5,61.4,59.7,4.4,,2.5
Tonga,Polynesia,Oceania,2010,14.4,69.9,71.8,67.9,4,57,0.6
Tonga,Polynesia,Oceania,2015,14.7,70.3,72.2,68.4,3.8,54,-0.6
Tonga,Polynesia,Oceania,2020,12.5,70.7,72.7,68.8,3.6,,1
Trinidad and Tobago,Caribbean,North America,2010,28.5,71.3,74.2,68.6,1.8,71,0.5
Trinidad and Tobago,Caribbean,North America,2015,26.1,72.5,75.2,69.8,1.8,68,0.6
Trinidad and Tobago,Caribbean,North America,2020,22,73.3,76,70.7,1.7,,0.4
Tunisia,Northern Africa,Africa,2010,18,74.6,77.2,72.3,2,46,1
Tunisia,Northern Africa,Africa,2015,14.6,75.5,77.6,73.4,2.3,46,1
Tunisia,Northern Africa,Africa,2020,12.7,76.4,78.5,74.4,2.2,,1.1
Turkey,Western Asia,Asia,2010,16.4,73.4,76.9,69.9,2.2,24,1.3
Turkey,Western Asia,Asia,2015,11.8,75.6,78.7,72.5,2.1,19,1.6
Turkey,Western Asia,Asia,2020,8.9,77.3,80.2,74.3,2.1,,1.4
Turkmenistan,Central Asia,Asia,2010,54.1,65.9,69.6,62.2,2.7,10,1.4
Turkmenistan,Central Asia,Asia,2015,46.9,67.3,70.8,63.9,3,8,1.8
Turkmenistan,Central Asia,Asia,2020,43.3,68,71.5,64.5,2.8,,1.6
Uganda,Eastern Africa,Africa,2010,70.7,54.4,56.2,52.5,6.4,430,3.2
Uganda,Eastern Africa,Africa,2015,59,59.5,61.1,57.7,5.8,387,3.3
Uganda,Eastern Africa,Africa,2020,46.1,62.8,65,60.4,5,,3.6
Ukraine,Eastern Europe,Europe,2010,12.6,67.9,73.8,62.3,1.4,25,-0.5
Ukraine,Eastern Europe,Europe,2015,8.8,70.9,75.9,65.8,1.5,21,-0.4
Ukraine,Eastern Europe,Europe,2020,7.2,71.8,76.6,66.8,1.4,,-0.5
United Arab Emirates,Western Asia,Asia,2010,7.7,75.9,77.3,75.1,2,4,12.4
United Arab Emirates,Western Asia,Asia,2015,6.5,76.8,78.2,76.1,1.7,3,1.6
United Arab Emirates,Western Asia,Asia,2020,5.5,77.7,79.1,77.1,1.4,,1.3
United Kingdom,Northern Europe,Europe,2010,4.8,79.7,81.8,77.5,1.9,10,1
United Kingdom,Northern Europe,Europe,2015,4.1,80.9,82.7,78.9,1.9,8,0.7
United Kingdom,Northern Europe,Europe,2020,3.8,81.2,82.9,79.4,1.8,,0.6
Tanzania,Eastern Africa,Africa,2010,55.5,56.3,57.7,54.8,5.6,644,2.9
Tanzania,Eastern Africa,Africa,2015,46.9,60.9,63.1,58.8,5.2,556,3
Tanzania,Eastern Africa,Africa,2020,41.2,64.8,66.6,63,4.9,,3
United States of America,Northern America,North America,2010,6.8,78.2,80.7,75.7,2.1,15,0.9
United States of America,Northern America,North America,2015,6,78.9,81.3,76.5,1.9,18,0.8
United States of America,Northern America,North America,2020,5.8,78.8,81.3,76.3,1.8,,0.6
United States Virgin Islands,Caribbean,North America,2010,10.7,77.8,80.3,75.5,2.4,,-0.3
United States Virgin Islands,Caribbean,North America,2015,9,79.4,82.2,76.7,2.3,,-0.2
United States Virgin Islands,Caribbean,North America,2020,8.2,80.3,82.9,77.7,2,,-0.1
Uruguay,South America,South America,2010,11.3,76.4,80,72.6,2,17,0.2
Uruguay,South America,South America,2015,10,77,80.7,73.2,2,18,0.3
Uruguay,South America,South America,2020,8.7,77.7,81.3,73.9,2,,0.4
Uzbekistan,Central Asia,Asia,2010,40.7,69.1,72.2,66.1,2.5,31,1.5
Uzbekistan,Central Asia,Asia,2015,27.7,70.2,72.7,67.8,2.4,30,1.6
Uzbekistan,Central Asia,Asia,2020,20.8,71.5,73.6,69.4,2.4,,1.6
Vanuatu,Melanesia,Oceania,2010,24,68.7,70.4,67.3,4.2,92,2.4
Vanuatu,Melanesia,Oceania,2015,24.3,69.5,71.2,68,4,76,2.8
Vanuatu,Melanesia,Oceania,2020,22.4,70.2,71.9,68.8,3.8,,2.5
Venezuela,South America,South America,2010,14.8,73,77,69.3,2.5,117,1.5
Venezuela,South America,South America,2015,15,73.1,77,69.4,2.4,115,1.1
Venezuela,South America,South America,2020,25.7,72.1,76.1,68.4,2.3,,-1.1
Viet Nam,South-eastern Asia,Asia,2010,19,74.6,78.7,70.4,1.9,47,1
Viet Nam,South-eastern Asia,Asia,2015,17.9,75,79.1,70.8,2,45,1
Viet Nam,South-eastern Asia,Asia,2020,16.7,75.3,79.4,71.2,2.1,,1
Western Sahara,Northern Africa,Africa,2010,43,66.2,68.1,64.7,2.6,,1.9
Western Sahara,Northern Africa,Africa,2015,34.1,68.4,70.3,66.9,2.6,,1.8
Western Sahara,Northern Africa,Africa,2020,28.8,69.9,71.9,68.2,2.4,,2.5
Yemen,Western Asia,Asia,2010,48.6,64.7,66.4,63.1,5,192,2.8
Yemen,Western Asia,Asia,2015,43.3,66,67.7,64.3,4.4,169,2.7
Yemen,Western Asia,Asia,2020,43.2,66,67.7,64.4,3.8,,2.4
Zambia,Eastern Africa,Africa,2010,64.7,51.8,54,49.6,5.6,305,2.8
Zambia,Eastern Africa,Africa,2015,53.3,59.3,61.5,57,5.2,232,3.1
Zambia,Eastern Africa,Africa,2020,45.6,63.3,66.2,60.3,4.7,,2.9
Zimbabwe,Eastern Africa,Africa,2010,62.7,45,46.7,43.3,3.9,598,1
Zimbabwe,Eastern Africa,Africa,2015,51.2,56.7,58.3,54.9,4.1,480,1.7
Zimbabwe,Eastern Africa,Africa,2020,38.7,60.8,62.2,59.2,3.6,,1.5